company,url
アクサ生命保険株式会社,https://www.axa.co.jp/news/2025
朝日生命保険相互会社,https://www.asahi-life.co.jp/company/newsrelease/index.html
アフラック生命保険株式会社,https://www.aflac.co.jp/corp/profile/news/2025/
イオン・アリアンツ生命保険株式会社,https://www.aeon-allianz.co.jp/press/
ＳＢＩ生命保険株式会社,https://www.sbilife.co.jp/corporate/press/
エヌエヌ生命保険株式会社,https://www.nnlife.co.jp/company/news
FWD生命保険株式会社,https://www.fwdlife.co.jp/press/
オリックス生命保険株式会社,https://www.orixlife.co.jp/about/news/
カーディフ生命保険株式会社,https://life.cardif.co.jp/company/news/newsrelease
株式会社かんぽ生命保険,https://www.jp-life.japanpost.jp/information/press/index.html
クレディ・アグリコル生命保険株式会社,https://www.ca-life.jp/news/
ジブラルタ生命保険株式会社,https://www.gib-life.co.jp/st/about/news/
住友生命保険相互会社,https://www.sumitomolife.co.jp/about/newsrelease/2025.html
ソニー生命保険株式会社,https://www.sonylife.co.jp/company/news/2025/
SOMPOひまわり生命保険株式会社,https://www.himawari-life.co.jp/company/news/2025/
第一生命保険株式会社,https://www.dai-ichi-life.co.jp/company/news/index.html
第一フロンティア生命保険株式会社,https://www.d-frontier-life.co.jp/corporate/release/index.html
大樹生命保険株式会社（旧三井生命保険株式会社）,https://www.taiju-life.co.jp/corporate/news/
大同生命保険株式会社,https://www.daido-life.co.jp/company/news/2025/
太陽生命保険株式会社,https://www.taiyo-seimei.co.jp/company/notice/press_article/2025.html
チューリッヒ生命保険株式会社,https://www.zurichlife.co.jp/aboutus/pressrelease/2025
Ｔ＆Ｄフィナンシャル生命保険株式会社,https://www.tdf-life.co.jp/newsrelease/
東京海上日動あんしん生命保険株式会社,https://www2.tmn-anshin.co.jp/system3/contents/contents.asp?category=1
なないろ生命保険株式会社,https://www.nanairolife.co.jp/news/category/news-cat/
ニッセイ・ウェルス生命保険株式会社,https://www.nw-life.co.jp/news/release/
日本生命保険相互会社,https://www.nissay.co.jp/news/
ネオファースト生命保険株式会社,https://neofirst.co.jp/information/news/2025/
はなさく生命保険株式会社,https://www.life8739.co.jp/news/information
富国生命保険相互会社,https://www.fukoku-life.co.jp/about/news/
フコクしんらい生命保険株式会社,https://www.fukokushinrai.co.jp/company/news/
プルデンシャル生命保険株式会社,https://www.prudential.co.jp/press/
ＰＧＦ生命（プルデンシャル ジブラルタ ファイナンシャル生命保険株式会社）,https://www.pgf-life.co.jp/company/news/
マニュライフ生命保険株式会社,https://www.manulife.co.jp/ja/individual/about/newsrelease/press.html
三井住友海上あいおい生命保険株式会社,https://www.msa-life.co.jp/news/
三井住友海上プライマリー生命保険株式会社,https://www.ms-primary.com/news/ir/2025/
みどり生命保険株式会社,https://midori-life.com/information/
明治安田生命保険相互会社,https://www.meijiyasuda.co.jp/profile/news/release/
メットライフ生命保険株式会社,https://www.metlife.co.jp/about/press/
メディケア生命保険株式会社,https://news.medicarelife.com/release/
ライフネット生命保険株式会社,https://www.lifenet-seimei.co.jp/newsrelease/
楽天生命保険株式会社,https://www.rakuten-life.co.jp/about/news/
アクサ生命保険株式会社,https://www.axa.co.jp/info/2025
朝日生命保険相互会社,https://www.asahi-life.co.jp/company/oshirase/index.html
アフラック生命保険株式会社,https://www.aflac.co.jp/info/
イオン・アリアンツ生命保険株式会社,https://www.aeon-allianz.co.jp/news/
ＳＢＩ生命保険株式会社,https://www.sbilife.co.jp/corporate/information/
エヌエヌ生命保険株式会社,https://www.nnlife.co.jp/company/messages
FWD生命保険株式会社,https://www.fwdlife.co.jp/information/
オリックス生命保険株式会社,https://www.orixlife.co.jp/about/notice/
カーディフ生命保険株式会社,https://life.cardif.co.jp/company/information/release
株式会社かんぽ生命保険,https://www.jp-life.japanpost.jp/information/news/
クレディ・アグリコル生命保険株式会社,https://www.ca-life.jp/news/topics.html
ジブラルタ生命保険株式会社,https://www.gib-life.co.jp/st/about/notice/
住友生命保険相互会社,https://www.sumitomolife.co.jp/infolist/
ソニー生命保険株式会社,https://www.sonylife.co.jp/info/
SOMPOひまわり生命保険株式会社,https://www.himawari-life.co.jp/company/topics/2025/
第一生命保険株式会社,https://www.dai-ichi-life.co.jp/information/notice.html
第一フロンティア生命保険株式会社,https://www.d-frontier-life.co.jp/corporate/news/index.html
大樹生命保険株式会社（旧三井生命保険株式会社）,https://www.taiju-life.co.jp/news.htm
大同生命保険株式会社,https://www.daido-life.co.jp/company/important/
大同生命保険株式会社,https://www.daido-life.co.jp/company/info/
太陽生命保険株式会社,https://www.taiyo-seimei.co.jp/company/notice/news_article/index.html
チューリッヒ生命保険株式会社,https://www.zurichlife.co.jp/received/2025
東京海上日動あんしん生命保険株式会社,https://www2.tmn-anshin.co.jp/system3/contents/contents.asp?category=2
なないろ生命保険株式会社,https://www.nanairolife.co.jp/news/category/information-cat/
ニッセイ・ウェルス生命保険株式会社,https://www.nw-life.co.jp/news/info/index.html
日本生命保険相互会社,https://www.nissay.co.jp/topics/
ネオファースト生命保険株式会社,https://neofirst.co.jp/information/info/
富国生命保険相互会社,https://www.fukoku-life.co.jp/about/information/
フコクしんらい生命保険株式会社,https://www.fukokushinrai.co.jp/company/topics/
プルデンシャル生命保険株式会社,https://www.prudential.co.jp/news/
ＰＧＦ生命（プルデンシャル ジブラルタ ファイナンシャル生命保険株式会社）,https://www.pgf-life.co.jp/company/notice/
マニュライフ生命保険株式会社,https://www.manulife.co.jp/ja/individual/about/newsrelease/news.html
三井住友海上あいおい生命保険株式会社,https://www.msa-life.co.jp/topics/
三井住友海上プライマリー生命保険株式会社,https://www.ms-primary.com/news/info/2025/
明治安田生命保険相互会社,https://www.meijiyasuda.co.jp/profile/news/topics/
メットライフ生命保険株式会社,https://www.metlife.co.jp/about/info/
メディケア生命保険株式会社,https://news.medicarelife.com/info/
ライフネット生命保険株式会社,https://www.lifenet-seimei.co.jp/profile/information/
楽天生命保険株式会社,https://www.rakuten-life.co.jp/about/topics/?l-id=about_news_about_topics
